### COMMAND: lsmod
### DATE: 2026-03-26T11:26:46-04:00

Module                  Size  Used by
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
snd_seq               135168  7 snd_seq_dummy
snd_seq_device         16384  1 snd_seq
xt_MASQUERADE          16384  2
xt_tcpudp              16384  2
xt_mark                12288  6
tun                    73728  2
nf_tables             397312  0
ip6table_nat           12288  1
ip6table_filter        12288  1
ip6_tables             36864  2 ip6table_filter,ip6table_nat
cmac                   12288  1
iptable_nat            12288  1
ccm                    20480  6
nf_nat                 61440  3 ip6table_nat,iptable_nat,xt_MASQUERADE
nf_conntrack          196608  2 nf_nat,xt_MASQUERADE
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
iptable_filter         12288  1
ip_tables              36864  2 iptable_filter,iptable_nat
x_tables               65536  9 ip6table_filter,iptable_filter,ip6table_nat,xt_tcpudp,ip6_tables,ip_tables,iptable_nat,xt_MASQUERADE,xt_mark
vfat                   24576  1
fat                   114688  1 vfat
snd_ctl_led            24576  0
snd_hda_codec_alc269   147456  1
uvcvideo              176128  0
snd_hda_scodec_component    20480  1 snd_hda_codec_alc269
kvm_amd               241664  0
snd_hda_codec_realtek_lib    61440  1 snd_hda_codec_alc269
videobuf2_vmalloc      20480  1 uvcvideo
snd_hda_codec_atihdmi    20480  1
kvm                  1421312  1 kvm_amd
snd_hda_codec_generic   114688  2 snd_hda_codec_realtek_lib,snd_hda_codec_alc269
snd_hda_codec_hdmi     61440  1 snd_hda_codec_atihdmi
uvc                    12288  1 uvcvideo
videobuf2_memops       16384  1 videobuf2_vmalloc
videobuf2_v4l2         40960  1 uvcvideo
videobuf2_common       94208  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
ath9k                 229376  0
irqbypass              16384  1 kvm
videodev              397312  2 videobuf2_v4l2,uvcvideo
snd_hda_intel          69632  2
ath9k_common           53248  1 ath9k
rtsx_usb_ms            24576  0
ath9k_hw              573440  2 ath9k_common,ath9k
ath3k                  20480  0
memstick               24576  1 rtsx_usb_ms
polyval_clmulni        12288  0
mc                     90112  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
snd_hda_codec         217088  6 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek_lib,snd_hda_codec_alc269,snd_hda_codec_atihdmi
platform_profile       20480  0
btusb                  81920  0
ghash_clmulni_intel    12288  0
snd_hda_core          147456  7 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek_lib,snd_hda_codec_alc269,snd_hda_codec_atihdmi
